                                                                                                                           7 May 2026 20:32:40
Satellite-MAVEN:  Attitude Schedule


    Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)                  Name                  Type           Description      
------------------------    ------------------------    --------------    -------------------------------    ------    -----------------------
11 Feb 2015 12:00:00.000    12 Feb 2015 03:55:00.000         57300.000    1_SUN_VELOCITY_cruise              Basic     Aligned and Constrained
12 Feb 2015 03:55:00.000    12 Feb 2015 04:00:00.000           300.000    VariableTimeSlew1                  Basic     Variable Time Slew     
12 Feb 2015 04:00:00.000    12 Feb 2015 07:55:00.000         14100.000    1b_COMM_HGA                        Basic     Aligned and Constrained
12 Feb 2015 07:55:00.000    12 Feb 2015 08:00:00.000           300.000    VariableTimeSlew2                  Basic     Variable Time Slew     
12 Feb 2015 08:00:00.000    12 Feb 2015 11:50:00.000         13800.000    1c_SUN_VELOCITY                    Basic     Aligned and Constrained
12 Feb 2015 11:50:00.000    12 Feb 2015 11:55:00.000           300.000    2_SLEW_walkin                      Basic     Variable Time Slew     
12 Feb 2015 11:55:00.000    12 Feb 2015 12:10:00.000           900.000    3_DeltaV_OTM_walkin                Basic     Aligned and Constrained
12 Feb 2015 12:10:00.000    12 Feb 2015 12:14:08.665           248.665    VariableTimeSlew3                  Basic     Variable Time Slew     
12 Feb 2015 12:14:08.665    14 Feb 2015 09:55:00.000        164451.335    4_FLYZ_Drag                        Basic     Aligned and Constrained
14 Feb 2015 09:55:00.000    14 Feb 2015 10:00:00.000           300.000    VariableTimeSlew4                  Basic     Variable Time Slew     
14 Feb 2015 10:00:00.000    14 Feb 2015 10:30:00.000          1800.000    4b_SAFE_MODE_anomaly_simulation    Basic     Aligned and Constrained
14 Feb 2015 10:30:00.000    14 Feb 2015 10:35:00.000           300.000    VariableTimeSlew6                  Basic     Variable Time Slew     
14 Feb 2015 10:35:00.000    17 Feb 2015 12:21:00.000        265560.000    4c_FLYZ_Drag                       Basic     Aligned and Constrained
17 Feb 2015 12:21:00.000    17 Feb 2015 12:26:00.000           300.000    VariableTimeSlew5                  Basic     Variable Time Slew     
17 Feb 2015 12:26:00.000    17 Feb 2015 12:43:00.000          1020.000    5_DeltaV_PCM_walkout               Basic     Aligned and Constrained
17 Feb 2015 12:43:00.000    17 Feb 2015 13:03:57.074          1257.074    6_SLEW_2flyy                       Basic     Variable Time Slew     
17 Feb 2015 13:03:57.074    19 Feb 2015 11:13:37.578        166180.504    7_FLYY                             Basic     Aligned and Constrained
19 Feb 2015 11:13:37.578    19 Feb 2015 11:21:57.578           500.000    Slew                               Slew      Fixed Rate Slew        
19 Feb 2015 11:21:57.578    19 Feb 2015 12:12:34.402          3036.823    MSL_Curiosity_GaleCrater           Target                           
19 Feb 2015 12:12:34.402    19 Feb 2015 12:20:54.402           500.000    Slew                               Slew      Fixed Rate Slew        
19 Feb 2015 12:20:54.402    20 Feb 2015 05:55:00.000         63245.598    7b_FLYY                            Basic     Aligned and Constrained
20 Feb 2015 05:55:00.000    20 Feb 2015 06:00:00.000           300.000    VariableTimeSlew7                  Basic     Variable Time Slew     
20 Feb 2015 06:00:00.000    20 Feb 2015 09:55:00.000         14100.000    7c_COMM_HGA                        Basic     Aligned and Constrained
20 Feb 2015 09:55:00.000    20 Feb 2015 10:00:00.000           300.000    VariableTimeSlew                   Basic     Variable Time Slew     
20 Feb 2015 10:00:00.000    23 Feb 2015 14:25:56.294        275156.294    8_FLYY                             Basic     Aligned and Constrained
