Metric,Value
Duration_days,12.1006944444962
Samples,17426
dt_s,60
P_solar_mean_W,902.883789550241
P_solar_max_W,2190.533
E_solar_tot_Wh,262227.548611708
P_demand_mean_W,670.79602318375
P_demand_max_W,793
E_demand_tot_Wh,194821.525
SOC_init_pct,85
SOC_final_pct,95.70214741823
SOC_min_pct,23.4947278736274
SOC_max_pct,100
E_surplus_tot_Wh,64011.2011863262
E_deficit_tot_Wh,0
LoadShed_events,1907
Ratio_Esol_Edem,1.34598858422706
AU_min,1.407147
AU_max,1.41778196385808
Beta_min_deg,-47.343
Beta_max_deg,-26.3900361419215
DSN_contact_pct,90.9962125559509
MSL_relay_pct,8.73407551933892
Validation_R2,0.997714649860764
Validation_mean_err_pct,-2.94143542942645
