                                                                                                                                                                               12 May 2026 21:18:32
Satellite-MAVEN1


Penumbra Start Time (UTCG)     Umbra Start Time (UTCG)     Umbra Stop Time (UTCG)     Penumbra Stop Time (UTCG)    Obstruction    Duration (sec)    Max Percent Shadow    Time of Max Shadow (UTCG)
--------------------------    ------------------------    ------------------------    -------------------------    -----------    --------------    ------------------    -------------------------
  17 Feb 2015 04:12:33.483    17 Feb 2015 04:15:18.921    17 Feb 2015 04:18:06.859     17 Feb 2015 04:20:48.130    Mars                  494.647            100.000000     17 Feb 2015 04:15:18.921
  17 Feb 2015 06:53:37.636    17 Feb 2015 06:54:53.021    17 Feb 2015 07:05:37.052     17 Feb 2015 07:06:48.475    Mars                  790.839            100.000000     17 Feb 2015 06:54:53.021
  17 Feb 2015 09:33:28.430    17 Feb 2015 09:34:24.991    17 Feb 2015 09:49:07.570     17 Feb 2015 09:50:00.365    Mars                  991.934            100.000000     17 Feb 2015 09:34:24.991
  17 Feb 2015 12:11:42.108    17 Feb 2015 12:12:29.048    17 Feb 2015 12:30:08.263     17 Feb 2015 12:30:51.634    Mars                 1149.526            100.000000     17 Feb 2015 12:12:29.048
  17 Feb 2015 14:52:19.071    17 Feb 2015 14:53:03.303    17 Feb 2015 15:11:34.503     17 Feb 2015 15:12:15.081    Mars                 1196.010            100.000000     17 Feb 2015 14:53:03.303
  17 Feb 2015 17:32:34.287    17 Feb 2015 17:33:16.236    17 Feb 2015 17:52:46.467     17 Feb 2015 17:53:24.786    Mars                 1250.498            100.000000     17 Feb 2015 17:33:16.236
  17 Feb 2015 20:12:39.665    17 Feb 2015 20:13:19.650    17 Feb 2015 20:33:44.837     17 Feb 2015 20:34:21.221    Mars                 1301.556            100.000000     17 Feb 2015 20:13:19.650
  17 Feb 2015 22:52:35.132    17 Feb 2015 22:53:13.406    17 Feb 2015 23:14:30.027     17 Feb 2015 23:15:04.721    Mars                 1349.589            100.000000     17 Feb 2015 22:53:13.406
  18 Feb 2015 01:32:20.653    18 Feb 2015 01:32:57.415    18 Feb 2015 01:55:02.387     18 Feb 2015 01:55:35.594    Mars                 1394.941            100.000000     18 Feb 2015 01:32:57.415
  18 Feb 2015 04:11:56.220    18 Feb 2015 04:12:31.634    18 Feb 2015 04:35:22.224     18 Feb 2015 04:35:54.110    Mars                 1437.890            100.000000     18 Feb 2015 04:12:31.634
  18 Feb 2015 06:51:21.843    18 Feb 2015 06:51:56.049    18 Feb 2015 07:15:29.810     18 Feb 2015 07:16:00.508    Mars                 1478.665            100.000000     18 Feb 2015 06:51:56.049
  18 Feb 2015 09:30:37.556    18 Feb 2015 09:31:10.670    18 Feb 2015 09:55:25.396     18 Feb 2015 09:55:55.024    Mars                 1517.468            100.000000     18 Feb 2015 09:31:10.670
  18 Feb 2015 12:09:43.403    18 Feb 2015 12:10:15.516    18 Feb 2015 12:35:09.207     18 Feb 2015 12:35:37.860    Mars                 1554.457            100.000000     18 Feb 2015 12:10:15.516
  18 Feb 2015 14:48:39.434    18 Feb 2015 14:49:10.634    18 Feb 2015 15:14:41.459     18 Feb 2015 15:15:09.221    Mars                 1589.787            100.000000     18 Feb 2015 14:49:10.634
  18 Feb 2015 17:27:25.708    18 Feb 2015 17:27:56.068    18 Feb 2015 17:54:02.346     18 Feb 2015 17:54:29.289    Mars                 1623.581            100.000000     18 Feb 2015 17:27:56.068
  18 Feb 2015 20:06:02.297    18 Feb 2015 20:06:31.878    18 Feb 2015 20:33:12.056     18 Feb 2015 20:33:38.243    Mars                 1655.946            100.000000     18 Feb 2015 20:06:31.878
  18 Feb 2015 22:44:29.267    18 Feb 2015 22:44:58.127    18 Feb 2015 23:12:10.773     18 Feb 2015 23:12:36.256    Mars                 1686.989            100.000000     18 Feb 2015 22:44:58.127
  19 Feb 2015 01:22:46.699    19 Feb 2015 01:23:14.884    19 Feb 2015 01:50:58.659     19 Feb 2015 01:51:23.493    Mars                 1716.794            100.000000     19 Feb 2015 01:23:14.884
  19 Feb 2015 04:00:54.664    19 Feb 2015 04:01:22.225    19 Feb 2015 04:29:35.880     19 Feb 2015 04:30:00.107    Mars                 1745.442            100.000000     19 Feb 2015 04:01:22.225
  19 Feb 2015 06:38:53.252    19 Feb 2015 06:39:20.221    19 Feb 2015 07:08:02.594     19 Feb 2015 07:08:26.251    Mars                 1772.999            100.000000     19 Feb 2015 06:39:20.221
  19 Feb 2015 09:16:42.542    19 Feb 2015 09:17:08.960    19 Feb 2015 09:46:18.954     19 Feb 2015 09:46:42.074    Mars                 1799.532            100.000000     19 Feb 2015 09:17:08.960
  19 Feb 2015 11:54:22.623    19 Feb 2015 11:54:48.517    19 Feb 2015 12:24:25.103     19 Feb 2015 12:24:47.722    Mars                 1825.099            100.000000     19 Feb 2015 11:54:48.517
  19 Feb 2015 14:31:53.574    19 Feb 2015 14:32:18.976    19 Feb 2015 15:02:21.181     19 Feb 2015 15:02:43.327    Mars                 1849.753            100.000000     19 Feb 2015 14:32:18.976
  19 Feb 2015 17:09:15.489    19 Feb 2015 17:09:40.424    19 Feb 2015 17:40:07.333     19 Feb 2015 17:40:29.030    Mars                 1873.542            100.000000     19 Feb 2015 17:09:40.424
  19 Feb 2015 19:46:28.452    19 Feb 2015 19:46:52.944    19 Feb 2015 20:17:43.690     19 Feb 2015 20:18:04.962    Mars                 1896.510            100.000000     19 Feb 2015 19:46:52.944
  19 Feb 2015 22:23:32.556    19 Feb 2015 22:23:56.625    19 Feb 2015 22:55:10.385     19 Feb 2015 22:55:31.255    Mars                 1918.698            100.000000     19 Feb 2015 22:23:56.625
  20 Feb 2015 01:00:27.882    20 Feb 2015 01:00:51.555    20 Feb 2015 01:32:27.544     20 Feb 2015 01:32:48.031    Mars                 1940.148            100.000000     20 Feb 2015 01:00:51.555
  20 Feb 2015 03:37:14.528    20 Feb 2015 03:37:37.818    20 Feb 2015 04:09:35.293     20 Feb 2015 04:09:55.416    Mars                 1960.888            100.000000     20 Feb 2015 03:37:37.818
  20 Feb 2015 06:13:52.576    20 Feb 2015 06:14:15.499    20 Feb 2015 06:46:33.756     20 Feb 2015 06:46:53.533    Mars                 1980.957            100.000000     20 Feb 2015 06:14:15.499
  20 Feb 2015 08:50:22.116    20 Feb 2015 08:50:44.692    20 Feb 2015 09:23:23.051     20 Feb 2015 09:23:42.496    Mars                 2000.380            100.000000     20 Feb 2015 08:50:44.692
  20 Feb 2015 11:26:43.237    20 Feb 2015 11:27:05.481    20 Feb 2015 12:00:03.298     20 Feb 2015 12:00:22.426    Mars                 2019.188            100.000000     20 Feb 2015 11:27:05.481
