                                                                    12 May 2026 21:21:13
Satellite-MAVEN1:  Lighting


Sunlight Times
--------------
                      Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------------------------    ------------------------    --------------
                  11 Feb 2015 12:00:00.000    17 Feb 2015 04:12:33.483        490353.483
                  17 Feb 2015 04:20:48.130    17 Feb 2015 06:53:37.636          9169.506
                  17 Feb 2015 07:06:48.475    17 Feb 2015 09:33:28.430          8799.956
                  17 Feb 2015 09:50:00.365    17 Feb 2015 12:11:42.108          8501.743
                  17 Feb 2015 12:30:51.634    17 Feb 2015 14:52:19.071          8487.436
                  17 Feb 2015 15:12:15.081    17 Feb 2015 17:32:34.287          8419.207
                  17 Feb 2015 17:53:24.786    17 Feb 2015 20:12:39.665          8354.879
                  17 Feb 2015 20:34:21.221    17 Feb 2015 22:52:35.132          8293.911
                  17 Feb 2015 23:15:04.721    18 Feb 2015 01:32:20.653          8235.932
                  18 Feb 2015 01:55:35.594    18 Feb 2015 04:11:56.220          8180.626
                  18 Feb 2015 04:35:54.110    18 Feb 2015 06:51:21.843          8127.733
                  18 Feb 2015 07:16:00.508    18 Feb 2015 09:30:37.556          8077.048
                  18 Feb 2015 09:55:55.024    18 Feb 2015 12:09:43.403          8028.379
                  18 Feb 2015 12:35:37.860    18 Feb 2015 14:48:39.434          7981.574
                  18 Feb 2015 15:15:09.221    18 Feb 2015 17:27:25.708          7936.488
                  18 Feb 2015 17:54:29.289    18 Feb 2015 20:06:02.297          7893.008
                  18 Feb 2015 20:33:38.243    18 Feb 2015 22:44:29.267          7851.025
                  18 Feb 2015 23:12:36.256    19 Feb 2015 01:22:46.699          7810.443
                  19 Feb 2015 01:51:23.493    19 Feb 2015 04:00:54.664          7771.172
                  19 Feb 2015 04:30:00.107    19 Feb 2015 06:38:53.252          7733.145
                  19 Feb 2015 07:08:26.251    19 Feb 2015 09:16:42.542          7696.292
                  19 Feb 2015 09:46:42.074    19 Feb 2015 11:54:22.623          7660.549
                  19 Feb 2015 12:24:47.722    19 Feb 2015 14:31:53.574          7625.852
                  19 Feb 2015 15:02:43.327    19 Feb 2015 17:09:15.489          7592.162
                  19 Feb 2015 17:40:29.030    19 Feb 2015 19:46:28.452          7559.422
                  19 Feb 2015 20:18:04.962    19 Feb 2015 22:23:32.556          7527.594
                  19 Feb 2015 22:55:31.255    20 Feb 2015 01:00:27.882          7496.628
                  20 Feb 2015 01:32:48.031    20 Feb 2015 03:37:14.528          7466.498
                  20 Feb 2015 04:09:55.416    20 Feb 2015 06:13:52.576          7437.160
                  20 Feb 2015 06:46:53.533    20 Feb 2015 08:50:22.116          7408.583
                  20 Feb 2015 09:23:42.496    20 Feb 2015 11:26:43.237          7380.742
                  20 Feb 2015 12:00:22.426    20 Feb 2015 14:02:56.030          7353.604
                  20 Feb 2015 14:36:53.436    20 Feb 2015 16:39:00.579          7327.143
                  20 Feb 2015 17:13:15.639    20 Feb 2015 19:14:56.971          7301.332
                  20 Feb 2015 19:49:29.144    20 Feb 2015 21:50:45.298          7276.153
                  20 Feb 2015 22:25:34.063    21 Feb 2015 00:26:25.640          7251.577
                  21 Feb 2015 01:01:30.496    21 Feb 2015 03:01:58.086          7227.590
                  21 Feb 2015 03:37:18.556    21 Feb 2015 05:37:22.723          7204.167
                  21 Feb 2015 06:12:58.342    21 Feb 2015 08:12:39.632          7181.291
                  21 Feb 2015 08:48:29.955    21 Feb 2015 10:47:48.900          7158.944
                  21 Feb 2015 11:23:53.498    21 Feb 2015 13:22:50.608          7137.111
                  21 Feb 2015 13:59:09.067    21 Feb 2015 15:57:44.843          7115.776
                  21 Feb 2015 16:34:16.761    21 Feb 2015 18:32:31.677          7094.917
                  21 Feb 2015 19:09:16.671    21 Feb 2015 21:07:11.201          7074.530
                  21 Feb 2015 21:44:08.899    21 Feb 2015 23:41:43.494          7054.595
                  22 Feb 2015 00:18:53.531    22 Feb 2015 02:16:08.628          7035.096
                  22 Feb 2015 02:53:30.661    22 Feb 2015 04:50:26.692          7016.030
                  22 Feb 2015 05:28:00.379    22 Feb 2015 07:24:37.757          6997.377
                  22 Feb 2015 08:02:22.772    22 Feb 2015 09:58:41.901          6979.128
                  22 Feb 2015 10:36:37.931    22 Feb 2015 12:32:39.203          6961.272
                  22 Feb 2015 13:10:45.940    22 Feb 2015 15:06:29.738          6943.798
                  22 Feb 2015 15:44:46.884    22 Feb 2015 17:40:13.580          6926.696
                  22 Feb 2015 18:18:40.847    22 Feb 2015 20:13:50.804          6909.957
                  22 Feb 2015 20:52:27.912    22 Feb 2015 22:47:21.484          6893.571
                  22 Feb 2015 23:26:08.163    23 Feb 2015 01:20:45.690          6877.527
                  23 Feb 2015 01:59:41.673    23 Feb 2015 03:54:03.497          6861.823
                  23 Feb 2015 04:33:08.529    23 Feb 2015 06:27:14.973          6846.445
                  23 Feb 2015 07:06:28.805    23 Feb 2015 09:00:20.190          6831.385
                  23 Feb 2015 09:39:42.580    23 Feb 2015 11:33:19.218          6816.638
                  23 Feb 2015 12:12:49.931    23 Feb 2015 14:06:12.124          6802.192

Statistics
----------
Min Duration      23 Feb 2015 12:12:49.931    23 Feb 2015 14:06:12.124          6802.192
Max Duration      11 Feb 2015 12:00:00.000    17 Feb 2015 04:12:33.483        490353.483
Mean Duration                                                                  15555.264
Total Duration                                                                933315.839
