Component,Qty,m_unit_kg,m_tot_kg,DMM_pct,m_wDMM_kg,Remark
MLI blankets (bus + tanks),1,2.7,2.7,20,3.24,"rho ~0.5 kg/m2"
Passive radiator panels,1,2.5,2.5,20,3,"Al honeycomb, ~100 W/m2"
Thermo-optical paint (radiators),1,0.025,0.025,20,0.03,"OSR coating"
Kapton heater strips (Batteries),1,0.05,0.05,5,0.0525,"5 W/cm2"
Kapton heater strips (N2H4_tanks),1,0.05,0.05,5,0.0525,"5 W/cm2"
Kapton heater strips (PCU),1,0.05,0.05,5,0.0525,"5 W/cm2"
Kapton heater strips (TWTA),1,0.05,0.05,5,0.0525,"5 W/cm2"
Kapton heater strips (StarTracker),1,0.05,0.05,5,0.0525,"5 W/cm2"
Kapton heater strips (RW),1,0.05,0.05,5,0.0525,"5 W/cm2"
Kapton heater strips (MAG_sensor),1,0.05,0.05,5,0.0525,"5 W/cm2"
Thermostat controllers,7,0.15,1.05,10,1.155,"Heritage"
Thermal straps (battery zone),2,0.1,0.2,10,0.22,"Cu braid"
Subtotal,---,NaN,6.825,NaN,NaN,"---"
Subsystem margin (20%),---,NaN,1.365,NaN,NaN,"---"
Total TCS mass,---,NaN,8.19,NaN,NaN,"---"
