Component,Qty,P_unit_W,P_tot_W,DMM_pct,P_wDMM_W
Kapton heater strips (Batteries),1, 5.59, 5.59, 5%, 5.87
Kapton heater strips (N2H4_tanks),1,93.48,93.48, 5%,98.15
Kapton heater strips (PCU),1, 3.19, 3.19, 5%, 3.35
Kapton heater strips (TWTA),1,27.71,27.71, 5%,29.09
Kapton heater strips (StarTracker),1, 7.39, 7.39, 5%, 7.76
Kapton heater strips (RW),1, 7.24, 7.24, 5%, 7.60
Kapton heater strips (MAG_sensor),1, 1.46, 1.46, 5%, 1.53
Thermostat controllers (all zones),7, 0.50, 3.50,10%, 3.85
Subtotal,---,---,149.55,---,157.21
Subsystem margin (20%),---,---,---,---,31.44
Total TCS power,---,---,---,---,188.65
